id,planned_claim,evidence_grade,evidence_status,novelty_status,evidence_required,evidence_artifacts,evidence_checks,caveat
B0,"Under a fixed admissible partition, redundant records can select at most one nondegenerate objective basis.",P;E,imported_prior_art_with_local_validation,Imported; not a project novelty claim,Prior-art theorem plus local Bell/GHZ validation.,docs/proofs/B0_imported_basis_uniqueness.md; results/processed/C1_basis_landscape_summary.json,bell_min=1.0; bell_max=1.0; ghz_z_score=1.0; ghz_x_score=0.0,Fixed-partition and nondegeneracy assumptions are mandatory.
O1,Persistent trajectories are exactly chains in the record-dominance poset after quotienting duplicate signatures.,P;E,supported,Central formalization,Formal proof plus exhaustive small-code regression.,docs/proofs/O1_chain_characterization.md; results/processed/T101_chain_verification.json,codes_checked=272; sequences_checked=188158; mismatch_count=0; c0_failure_count=0,"The statement is about persistent-record codes, not arbitrary physical dynamics."
O2,All labels admit one scalar persistent timeline iff the quotient record-poset is a chain and labels are nonduplicate.,P;E,supported,Clock-specific interpretation,"Formal iff proof plus branching, duplicate and disconnected fixtures.",docs/proofs/O1_unique_scalar_timeline.md; results/processed/C2_order_catalog_summary.json; results/processed/C2_order_catalog.parquet,linear_extensions_are_physical=False; diamond=branching_or_partial_order; duplicate=non_identifiable_duplicate_labels,"Linear extensions are scheduler totalizations, not physical time trajectories."
O3,E binary persistent coordinates encode at most E+1 distinct states on one strict scalar trajectory.,P;E,supported,Simple exact capacity bound,"Rank proof, exhaustive capacity table and thermometer construction.",docs/proofs/O2_capacity.md; results/processed/T103_capacity.json,binary_rows=9; boundary_rows=8; thermometer_n5_present=True,Capacity bound applies to strict persistent scalar trajectories.
O4,q independent noisy copies obey the stated majority-decoding recovery bound and full-table union bound.,P;E;S,supported,Applied concentration bound,"Analytic bound, exact binomial grid and stochastic C3 sweep.",docs/proofs/O4_noise_bound.md; results/processed/T104_noise_bound_grid.json; results/processed/C3_noise_phase_summary.json,t104_violation_count=0; c3_bound_violation_count=0; c3_grid_cells_complete=True,Independent-copy and p<1/2 assumptions are required.
N1,Redundancy alone does not identify the order of labels.,N;E,supported_no_go,Boundary result,Smallest label-permutation counterexample.,docs/proofs/no_go_package.md; results/processed/counterexample_catalog.json,N1_present=True,External label anchoring can add order information; redundancy alone cannot.
N2,Temporal orientation needs an anchored write asymmetry.,N;E,supported_no_go,Boundary result,Orientation-swap counterexample.,docs/proofs/no_go_package.md; results/processed/counterexample_catalog.json,N2_present=True,The no-go excludes orientation from basis objectivity alone.
N3,Unrestricted partition freedom destroys partition-independent basis uniqueness.,N;P;E,supported_no_go,Known-adjacent no-go,Formal construction and stress-test control.,docs/proofs/no_go_package.md; results/processed/counterexample_catalog.json; results/processed/C4_assumption_failures.json,N3_present=True; all_predicted_failures_observed=True,This is a boundary condition on admissible physical partitions.
Q1,"In the four-qubit GHZ illustration, Z records are local/objective while X-basis information is global.",P;E;S,supported_without_hardware,Illustration only,"Exact GHZ calculation, C1 landscape and local Q302 simulator sweep.",results/processed/C1_basis_landscape_summary.json; results/processed/C5_ghz_exact.json; results/processed/Q1_noise_sweep_summary.json,ghz_z_score=1.0; ghz_x_score=0.0; q302_passing_cells=96/100,No Q-grade evidence is claimed; Q304 stopped before hardware preregistration.
Q2,A dephased GHZ mixture preserves Z objectivity but removes the global X-parity coherence witness.,P;E;S,supported_without_hardware,Boundary illustration,Exact coherent/dephased comparison plus local simulator readiness.,results/processed/C5_ghz_exact.json; results/processed/Q1_noise_sweep_summary.json; results/processed/Q2_backend_twin_summary.json,z_basis_ghz=1.0; z_basis_dephased=1.0; ghz_xxxx=0.9999999999999998; dephased_xxxx=0.0; coherence_difference=0.9999999999999998; q304_status=hardware_stage_stopped; q304_reason=no_real_backend_snapshot_available,No hardware observation is available because the backend-derived twin gate stopped.
